1876 TOC,1884 TOC,1886 TOC,1909 TOC,1922 TOC,1927 TOC
THE GOLDEN BIRD,THE FROG-PRINCE,THE RABBIT'S BRIDE,SNOWDROP,THE GOOSE-GIRL,THE FROG-PRINCE
HANS IN LUCK,CAT AND MOUSE IN PARTNERSHIP,SIX SOLDIERS OF FORTUNE,THE PINK,LITTLE BROTHER AND LITTLE SISTER,THE WOLF AND THE SEVEN LITTLE KIDS
JORINDA AND JORINDEL,OUR LADY'S CHILD,CLEVER GRETEL,BRIAR ROSE,HANSEL AND GRETEL,RAPUNZEL
THE TRAVELLING MUSICIANS,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS,THE DEATH OF THE HEN,THE JEW AMONG THORNS,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS,LITTLE BROTHER AND LITTLE SISTER
OLD SULTAN,THE WOLF AND THE SEVEN YOUNG KIDS,HANS IN LUCK,ASHPUTTEL,DUMMLING AND THE THREE FEATHERS,THE STAR-MONEY
"THE STRAW, THE COAL, AND THE BEAN",FAITHFUL JOHN,THE GOOSE-GIRL,THE WHITE SNAKE,SNOWDROP,THE FISHERMAN AND HIS WIFE
BRIAR ROSE,THE GOOD BARGAIN,THE RAVEN,THE WOLF AND THE SEVEN KIDS,FREDERICK AND CATHERINE,THE WHITE SNAKE
THE DOG AND THE SPARROW,THE STRANGE MUSICIAN,THE FROG-PRINCE,THE QUEEN BEE,THE BRAVE LITTLE TAILOR,HANSEL AND GRETEL
THE TWELVE DANCING PRINCESSES,THE TWELVE BROTHERS,CAT AND MOUSE IN PARTNERSHIP,THE ELVES AND THE SHOEMAKER,LITTLE RED-CAP,THE SEVEN RAVENS
THE FISHERMAN AND HIS WIFE,THE PACK OF RAGAMUFFINS,THE WOLF AND THE SEVEN KIDS,THE WOLF AND THE MAN,THE GOLDEN GOOSE,ASHPUTTEL
THE WILLOW-WREN AND THE BEAR,LITTLE BROTHER AND LITTLE SISTER,FAITHFUL JOHN,THE TURNIP,BEARSKIN,THE ELVES AND THE SHOEMAKER 
THE FROG-PRINCE,RAPUNZEL,THE STRANGE MUSICIAN,CLEVER HANS,ASHPUTTEL,THE THREE BROTHERS
CAT AND MOUSE IN PARTNERSHIP,THE THREE LITTLE MEN IN THE FOREST,THE TWELVE BROTHERS,THE THREE LANGUAGES,FAITHFUL JOHN,"THE WISHING TABLE, THE GOLD-ASS, AND THE CUDGEL IN THE SACK"
THE GOOSE-GIRL,THE THREE SPINNING WOMEN,THE VAGABONDS,THE FOX AND THE CAT,THE WATER OF LIFE,IRON HANS
THE ADVENTURES OF CHANTICLEER AND PARTLET,HANSEL AND GRETEL,LITTLE BROTHER AND LITTLE SISTER,THE FOUR CLEVER BROTHERS,THUMBLING,CLEVER ELSIE
RAPUNZEL,THE THREE SNAKE-LEAVES,RAPUNZEL,THE LADY AND THE LION,BRIAR ROSE,THE BREMEN TOWN MUSICIANS
FUNDEVOGEL,THE WHITE SNAKE,THE THREE LITTLE MEN IN THE WOOD,THE FOX AND THE HORSE,THE SIX SWANS,THE SIX SWANS
THE BRAVE LITTLE TAILOR,"THE STRAW, THE COAL, AND THE BEAN",THE THREE SPINSTERS,THE BLUE LIGHT,RAPUNZEL,THE POOR MILLER'S BOY AND THE CAT
HANSEL AND GRETEL,THE FISHERMAN AND HIS WIFE,HANSEL AND GRETEL,THE GOOSE-GIRL,MOTHER HOLLE,LITTLE RED-CAP
"THE MOUSE, THE BIRD, AND THE SAUSAGE",THE BRAVE LITTLE TAILOR,THE WHITE SNAKE,THE GOLDEN GOOSE,THE FROG-PRINCE,KING GRISLY-BEARD
MOTHER HOLLE,ASHPUTTEL,"THE STRAW, THE COAL, AND THE BEAN",THE WATER OF LIFE,THUMBLING AS JOURNEYMAN,THE GOLD-CHILDREN
LITTLE RED-CAP,THE RIDDLE,THE FISHERMAN AND HIS WIFE,CLEVER GRETEL,SNOW-WHITE AND ROSE-RED,SNOWDROP
THE ROBBER BRIDEGROOM,"THE MOUSE, THE BIRD, AND THE SAUSAGE",THE BRAVE LITTLE TAILOR,THE KING OF THE GOLDEN MOUNTAIN,THE THREE LITTLE MEN IN THE WOOD,RUMPELSTILTSKIN
TOM THUMB,MOTHER HOLLE,ASHPUTTEL,DOCTOR KNOWALL,RUMPELSTILTSKIN,BRIAR ROSE
RUMPELSTILTSKIN,THE SEVEN RAVENS,"THE MOUSE, THE BIRD, AND THE SAUSAGE",THE SEVEN RAVENS,"ONE-EYE, TWO-EYES AND THREE-EYES",THE THREE LITTLE MEN IN THE WOOD
CLEVER GRETEL,LITTLE RED-CAP,MOTHER HOLLE,THE WEDDING OF MRS. FOX,,THE GOLDEN BIRD
THE OLD MAN AND HIS GRANDSON,THE BREMEN TOWN MUSICIANS,LITTLE RED-CAP,THE SALAD,,THE QUEEN BEE
THE LITTLE PEASANT,THE SINGING BONE,THE BREMEN TOWN MUSICIANS,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS,,FUNDEVOGEL
FREDERICK AND CATHERINE,THE DEVIL WITH THE THREE GOLDEN HAIRS,CLEVER HANS,KING GRISLY-BEARD,,THE GOLDEN GOOSE
SWEETHEART ROLAND,LITTLE LOUSE AND LITTLE FLEA,CLEVER ELSIE,IRON HANS,,MOTHER HOLLE
SNOWDROP,THE GIRL WITHOUT HANDS,"THE WISHING-TABLE, THE GOLD-ASS, AND THE CUDGEL IN THE SACK",,,THE TWO TRAVELERS
THE PINK,CLEVER HANS,THUMBLING,,,JORINDA AND JORINDEL
CLEVER ELSIE,THE THREE LANGUAGES,THE WEDDING OF MRS. FOX,,,HOW SIX MEN GOT ON IN THE WORLD
THE MISER IN THE BUSH,CLEVER ELSIE,THE ELVES,,,THE GOOSE-GIRL
ASHPUTTEL,THE TAILOR IN HEAVEN,THE ROBBER BRIDEGROOM,,,"THE SINGING, SPRINGING LARK"
THE WHITE SNAKE,"THE WISHING TABLE, THE GOLD-ASS, AND THE CUDGEL IN THE SACK",MR. KORBES,,,DOCTOR KNOWALL
THE WOLF AND THE SEVEN LITTLE KIDS,THUMBLING,THUMBLING AS JOURNEYMAN,,,THE BLUE LIGHT
THE QUEEN BEE,THE WEDDING OF MRS. FOX,THE ALMOND TREE,,,"THE SPINDLE, THE SHUTTLE, AND THE NEEDLE"
THE ELVES AND THE SHOEMAKER,THE ELVES,OLD SULTAN,,,THE THREE CHILDREN OF FORTUNE
THE JUNIPER-TREE,THE ROBBER BRIDEGROOM,THE SIX SWANS,,,THE DONKEY CABBAGES
THE TURNIP,HERR KORBES,THE SLEEPING BEAUTY,,,CLEVER HANS
CLEVER HANS,THE GODFATHER,KING GRISLY-BEARD,,,THE IRON STOVE
THE THREE LANGUAGES,MOTHER TRUDY,SNOWDROP,,,SWEET PORRIDGE
THE FOX AND THE CAT,GODFATHER DEATH,"THE KNAPSACK, THE HAT, AND THE HORN",,,SNOW-WHITE AND ROSE-RED
THE FOUR CLEVER BROTHERS,THUMBLING AS JOURNEYMAN,RUMPELSTILTSKIN,,,THE HEDGE-KING
LILY AND THE LION,FITCHER'S BIRD,SWEETHEART ROLAND,,,"ONE-EYE, TWO-EYES, AND THREE-EYES"
THE FOX AND THE HORSE,THE JUNIPER-TREE,THE GOLDEN BIRD,,,THE GOOSE-GIRL AT THE WELL
THE BLUE LIGHT,OLD SULTAN,THE DOG AND THE SPARROW,,,THE SHOES THAT WERE DANCED TO PIECES
THE RAVEN,THE SIX SWANS,FREDERICK AND CATHERINE,,,THE NIXIE OF THE MILL-POND
THE GOLDEN GOOSE,BRIAR ROSE,THE LITTLE FARMER,,,THE LITTLE HOUSE IN THE WOOD
THE WATER OF LIFE,FUNDEVOGEL,THE QUEEN BEE,,,MAID MALEEN
THE TWELVE HUNTSMEN,KING GRISLY-BEARD,THE GOLDEN GOOSE,,,
THE KING OF THE GOLDEN MOUNTAIN,SNOWDROP,,,,
DOCTOR KNOWALL,"THE KNAPSACK, THE HAT, AND THE HORN",,,,
THE SEVEN RAVENS,RUMPELSTILTSKIN,,,,
THE WEDDING OF MRS FOX,SWEETHEART ROLAND,,,,
FIRST STORY,THE GOLDEN BIRD,,,,
SECOND STORY,THE DOG AND THE SPARROW,,,,
THE SALAD,FREDERICK AND CATHERINE,,,,
THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS,THE TWO BROTHERS,,,,
KING GRISLY-BEARD,THE LITTLE PEASANT,,,,
IRON HANS,THE QUEEN BEE,,,,
CAT-SKIN,THE THREE FEATHERS,,,,
SNOW-WHITE AND ROSE-RED,THE GOLDEN GOOSE,,,,
,ALLERLEIRAUH,,,,
,THE HARE'S BRIDE,,,,
,THE TWELVE HUNTSMEN,,,,
,THE THIEF AND HIS MASTER,,,,
,JORINDA AND JORINDEL,,,,
,THE THREE CHILDREN OF FORTUNE,,,,
,HOW SIX MEN GOT ON IN THE WORLD,,,,
,THE WOLF AND THE MAN,,,,
,THE WOLF AND THE FOX,,,,
,THE FOX AND HIS COUSIN,,,,
,THE FOX AND THE CAT,,,,
,THE PINK,,,,
,CLEVER GRETEL,,,,
,THE OLD MAN AND HIS GRANDSON,,,,
,THE WATER-NIX,,,,
,THE DEATH OF THE LITTLE HEN,,,,
,BROTHER LUSTIG,,,,
,GAMBLING HANSEL,,,,
,HANS IN LUCK,,,,
,HANS MARRIED,,,,
,THE GOLD-CHILDREN,,,,
,THE FOX AND THE GEESE,,,,
,THE POOR MAN AND THE RICH MAN,,,,
,"THE SINGING, SPRINGING LARK",,,,
,THE GOOSE-GIRL,,,,
,THE YOUNG GIANT,,,,
,THE GNOME,,,,
,THE KING OF THE GOLDEN MOUNTAIN,,,,
,THE RAVEN,,,,
,THE PEASANT'S CLEVER DAUGHTER,,,,
,OLD HILDEBRAND,,,,
,THE THREE LITTLE BIRDS,,,,
,THE WATER OF LIFE,,,,
,DOCTOR KNOWALL,,,,
,THE SPIRIT IN THE BOTTLE,,,,
,THE DEVIL'S SOOTY BROTHER,,,,
,BEARSKIN,,,,
,THE WILLOW-WREN AND THE BEAR,,,,
,SWEET PORRIDGE,,,,
,WISE FOLKS,,,,
,STORIES ABOUT SNAKES,,,,
,THE POOR MILLER'S BOY AND THE CAT,,,,
,THE TWO TRAVELLERS,,,,
,HANS THE HEDGEHOG,,,,
,THE SHROUD,,,,
,THE JEW AMONG THORNS,,,,
,THE SKILLFUL HUNTSMAN,,,,
,THE FLAIL FROM HEAVEN,,,,
,THE TWO KINGS' CHILDREN,,,,
,THE CUNNING LITTLE TAILOR,,,,
,THE BRIGHT SUN BRINGS IT TO LIGHT,,,,
,THE BLUE LIGHT,,,,
,THE WILFUL CHILD,,,,
,THE THREE ARMY SURGEONS,,,,
,THE SEVEN SWABIANS,,,,
,THE THREE APPRENTICES,,,,
,THE KING'S SON WHO FEARED NOTHING,,,,
,DONKEY CABBAGES,,,,
,THE OLD WOMAN IN THE WOOD,,,,
,THE THREE BROTHERS,,,,
,THE DEVIL AND HIS GRANDMOTHER,,,,
,FERDINAND THE FAITHFUL,,,,
,THE IRON STOVE,,,,
,THE LAZY SPINNER,,,,
,THE FOUR CLEVER BROTHERS,,,,
,"ONE-EYE, TWO-EYES, AND THREE-EYES",,,,
,FAIR KATRINELJE AND PIF PAF POLTRIE,,,,
,THE FOX AND THE HORSE,,,,
,THE SHOES THAT WERE DANCED TO PIECES,,,,
,THE SIX SERVANTS,,,,
,THE WHITE BRIDE AND THE BLACK ONE,,,,
,IRON HANS,,,,
,THE THREE BLACK PRINCESSES,,,,
,KNOIST AND HIS THREE SONS,,,,
,THE MAID OF BRAKEL,,,,
,DOMESTIC SERVANTS,,,,
,THE LAMBKIN AND THE LITTLE FISH,,,,
,SIMELI MOUNTAIN,,,,
,GOING A-TRAVELLING,,,,
,THE DONKEY,,,,
,THE UNGRATEFUL SON,,,,
,THE TURNIP,,,,
,THE OLD MAN MADE YOUNG AGAIN,,,,
,THE LORD'S ANIMALS AND THE DEVIL'S,,,,
,THE BEAM,,,,
,THE OLD BEGGAR-WOMAN,,,,
,THE THREE SLUGGARDS,,,,
,THE TWELVE IDLE SERVANTS,,,,
,THE SHEPHERD BOY,,,,
,THE STAR-MONEY,,,,
,THE STOLEN FARTHINGS,,,,
,BRIDES ON THEIR TRIAL,,,,
,ODDS AND ENDS,,,,
,THE SPARROW AND HIS FOUR CHILDREN,,,,
,THE STORY OF SCHLAURAFFEN LAND,,,,
,THE DITMARSH TALE OF WONDERS,,,,
,A RIDDLING TALE,,,,
,SNOW-WHITE AND ROSE-RED,,,,
,THE WISE SERVANT,,,,
,THE GLASS COFFIN,,,,
,LAZY HARRY,,,,
,THE GRIFFIN,,,,
,STRONG HANS,,,,
,THE PEASANT IN HEAVEN,,,,
,LEAN LISA,,,,
,THE HUT IN THE FOREST,,,,
,SHARING JOY AND SORROW,,,,
,THE WILLOW-WREN,,,,
,THE SOLE,,,,
,THE BITTERN AND THE HOOPOE,,,,
,THE OWL,,,,
,THE MOON,,,,
,THE DURATION OF LIFE,,,,
,DEATH'S MESSENGERS,,,,
